,time,open,high,low,close,volume,trades,start
0,1628452800000.0,19.486,19.556,19.309,19.549,105302.976,3758.0,2021-08-08 20:00:00
1,1628453700000.0,19.543,19.759,19.536,19.698,156854.544,5469.0,2021-08-08 20:15:00
2,1628454600000.0,19.698,19.731,19.518,19.542,77165.354,2768.0,2021-08-08 20:30:00
3,1628455500000.0,19.541,19.703,19.464,19.65,73181.326,2688.0,2021-08-08 20:45:00
4,1628456400000.0,19.653,19.743,19.603,19.685,74962.543,2403.0,2021-08-08 21:00:00
5,1628457300000.0,19.69,19.843,19.665,19.842,50997.969,2163.0,2021-08-08 21:15:00
6,1628458200000.0,19.841,19.95,19.8,19.945,68128.167,3656.0,2021-08-08 21:30:00
7,1628459100000.0,19.949,19.952,19.8,19.944,46327.339,2727.0,2021-08-08 21:45:00
8,1628460000000.0,19.939,20.219,19.904,20.206,166625.772,7185.0,2021-08-08 22:00:00
9,1628460900000.0,20.207,20.233,20.072,20.221,103793.397,4393.0,2021-08-08 22:15:00
10,1628461800000.0,20.219,20.219,20.046,20.111,59841.584,2384.0,2021-08-08 22:30:00
11,1628462700000.0,20.11,20.193,20.043,20.061,41068.912,1698.0,2021-08-08 22:45:00
12,1628463600000.0,20.06,20.19,20.056,20.117,42968.45,1720.0,2021-08-08 23:00:00
13,1628464500000.0,20.117,20.198,19.909,19.963,98399.19,3562.0,2021-08-08 23:15:00
14,1628465400000.0,19.958,20.037,19.68,19.745,152559.135,5303.0,2021-08-08 23:30:00
15,1628466300000.0,19.746,19.788,19.596,19.65,129787.919,4028.0,2021-08-08 23:45:00
16,1628467200000.0,19.651,19.795,19.363,19.433,201557.002,6903.0,2021-08-09 00:00:00
17,1628468100000.0,19.44,19.584,19.342,19.375,161614.38,5302.0,2021-08-09 00:15:00
18,1628469000000.0,19.375,19.46,19.029,19.102,217647.921,8897.0,2021-08-09 00:30:00
19,1628469900000.0,19.102,19.2,19.001,19.073,222223.78,6137.0,2021-08-09 00:45:00
20,1628470800000.0,19.072,19.081,18.706,18.73,296530.254,11352.0,2021-08-09 01:00:00
21,1628471700000.0,18.734,19.044,18.728,18.996,149709.945,5304.0,2021-08-09 01:15:00
