,time,open,high,low,close,volume,trades,start
0,1627912800000.0,18.225,18.59,18.071,18.175,1041829.003,78343.0,2021-08-02 14:00:00
1,1627916400000.0,18.174,18.457,18.173,18.277,469565.762,16076.0,2021-08-02 15:00:00
2,1627920000000.0,18.278,18.704,18.176,18.654,1022373.225,30715.0,2021-08-02 16:00:00
3,1627923600000.0,18.652,18.689,18.391,18.45,565189.635,77112.0,2021-08-02 17:00:00
4,1627927200000.0,18.447,18.609,18.368,18.527,306586.464,10224.0,2021-08-02 18:00:00
5,1627930800000.0,18.528,18.606,18.09,18.166,571122.636,19915.0,2021-08-02 19:00:00
6,1627934400000.0,18.163,18.218,17.917,17.964,726953.465,22937.0,2021-08-02 20:00:00
7,1627938000000.0,17.967,18.215,17.916,18.112,284301.171,9572.0,2021-08-02 21:00:00
8,1627941600000.0,18.115,18.449,18.075,18.307,564704.692,15752.0,2021-08-02 22:00:00
9,1627945200000.0,18.307,18.409,17.96,17.984,573653.218,13891.0,2021-08-02 23:00:00
10,1627948800000.0,17.984,18.546,17.866,18.356,1017126.151,93674.0,2021-08-03 00:00:00
11,1627952400000.0,18.352,18.384,17.994,18.029,998275.718,26012.0,2021-08-03 01:00:00
12,1627956000000.0,18.032,18.289,18.0,18.057,354936.013,11961.0,2021-08-03 02:00:00
13,1627959600000.0,18.056,18.174,17.823,17.919,529396.558,14498.0,2021-08-03 03:00:00
14,1627963200000.0,17.924,18.039,17.542,17.581,685338.808,20972.0,2021-08-03 04:00:00
15,1627966800000.0,17.585,17.586,17.15,17.354,1232716.461,33408.0,2021-08-03 05:00:00
16,1627970400000.0,17.353,17.485,17.279,17.294,538121.333,30234.0,2021-08-03 06:00:00
17,1627974000000.0,17.291,17.488,17.131,17.43,733088.044,17509.0,2021-08-03 07:00:00
18,1627977600000.0,17.43,17.433,17.19,17.206,519663.106,31438.0,2021-08-03 08:00:00
19,1627981200000.0,17.205,17.221,16.963,17.22,735490.41,22490.0,2021-08-03 09:00:00
20,1627984800000.0,17.217,17.364,17.022,17.248,718551.498,17066.0,2021-08-03 10:00:00
21,1627988400000.0,17.248,17.345,17.102,17.137,342833.692,11061.0,2021-08-03 11:00:00
22,1627992000000.0,17.137,17.366,16.811,17.332,1336247.046,35281.0,2021-08-03 12:00:00
23,1627995600000.0,17.327,17.579,17.323,17.373,699031.587,53618.0,2021-08-03 13:00:00
24,1627999200000.0,17.374,17.639,17.353,17.427,558862.811,27717.0,2021-08-03 14:00:00
25,1628002800000.0,17.428,17.599,17.271,17.445,650551.663,55567.0,2021-08-03 15:00:00
26,1628006400000.0,17.444,17.501,17.114,17.321,747062.17,39735.0,2021-08-03 16:00:00
27,1628010000000.0,17.322,17.467,17.132,17.144,463994.721,17304.0,2021-08-03 17:00:00
28,1628013600000.0,17.144,17.314,17.043,17.3,455084.928,14446.0,2021-08-03 18:00:00
29,1628017200000.0,17.3,17.367,17.17,17.208,276324.52,8654.0,2021-08-03 19:00:00
30,1628020800000.0,17.199,17.303,17.027,17.206,366010.768,12527.0,2021-08-03 20:00:00
31,1628024400000.0,17.21,17.433,17.181,17.323,400631.036,9899.0,2021-08-03 21:00:00
32,1628028000000.0,17.324,17.5,17.316,17.468,338199.869,9676.0,2021-08-03 22:00:00
33,1628031600000.0,17.47,17.576,17.301,17.425,368566.749,10688.0,2021-08-03 23:00:00
34,1628035200000.0,17.426,17.49,17.099,17.401,473332.523,13258.0,2021-08-04 00:00:00
35,1628038800000.0,17.402,17.777,17.307,17.575,697201.353,19490.0,2021-08-04 01:00:00
36,1628042400000.0,17.575,17.771,17.45,17.566,706734.296,16785.0,2021-08-04 02:00:00
37,1628046000000.0,17.565,17.654,17.41,17.437,307333.874,9513.0,2021-08-04 03:00:00
38,1628049600000.0,17.44,17.575,17.333,17.494,320388.203,9592.0,2021-08-04 04:00:00
39,1628053200000.0,17.493,17.671,17.491,17.522,439591.071,11394.0,2021-08-04 05:00:00
40,1628056800000.0,17.522,17.629,17.36,17.396,434154.004,11357.0,2021-08-04 06:00:00
