,time,open,high,low,close,volume,trades,start
0,1628035200000.0,2508.51,2772.71,2457.68,2724.78,954590.7536,1839302.0,2021-08-04
1,1628121600000.0,2724.55,2843.98,2529.91,2826.99,1307720.20654,2690052.0,2021-08-05
2,1628208000000.0,2827.01,2946.75,2720.06,2891.58,825399.48637,1873337.0,2021-08-06
3,1628294400000.0,2891.54,3171.0,2865.5,3160.31,1205277.10095,2318608.0,2021-08-07
4,1628380800000.0,3160.48,3189.99,2949.03,3011.85,966349.70579,1771162.0,2021-08-08
5,1628467200000.0,3011.84,3186.0,2893.23,3160.52,1129584.61614,2114151.0,2021-08-09
6,1628553600000.0,3160.51,3233.0,3051.22,3141.66,880675.74443,1824522.0,2021-08-10
7,1628640000000.0,3141.14,3274.0,3120.27,3160.5,732546.60433,1786853.0,2021-08-11
8,1628726400000.0,3160.4,3239.0,2979.29,3045.96,737628.45808,1587719.0,2021-08-12
9,1628812800000.0,3046.11,3327.83,3033.8,3322.32,579333.40323,1311322.0,2021-08-13
10,1628899200000.0,3322.33,3330.98,3200.0,3263.16,486102.53787,1014420.0,2021-08-14
11,1628985600000.0,3263.16,3320.0,3111.13,3307.09,565579.67765,1224556.0,2021-08-15
12,1629072000000.0,3307.35,3335.0,3135.22,3146.53,635667.05422,1940766.0,2021-08-16
13,1629158400000.0,3147.18,3290.0,2991.89,3011.72,804996.06971,1644472.0,2021-08-17
14,1629244800000.0,3011.73,3125.81,2950.0,3014.55,625103.25568,1093813.0,2021-08-18
15,1629331200000.0,3014.18,3188.0,2958.33,3184.12,634769.92174,1297759.0,2021-08-19
16,1629417600000.0,3184.11,3300.0,3177.16,3284.5,404196.79823,842477.0,2021-08-20
